성별,연령,구분,없음,3시간 미만,3-5시간,5-7시간,7시간 이상,사례수,평균(분)
남,10대,평일,0.5,55.1,35.2,8.2,1.0,686,157.11
남,20대,평일,0.0,44.7,44.3,9.5,1.6,684,175.32
남,30대,평일,0.5,57.8,37.6,3.5,0.6,824,147.45
남,40대,평일,0.0,57.3,37.9,4.1,0.7,882,151.4
남,50대,평일,0.0,50.7,42.1,6.2,1.0,737,163.76
남,60대,평일,0.0,39.1,42.9,11.2,6.7,393,200.49
남,70대이상,평일,0.0,23.5,31.5,22.6,22.5,284,280.03
여,10대,평일,0.3,58.5,32.2,8.3,0.6,619,151.93
여,20대,평일,0.0,47.7,45.1,6.3,0.9,632,165.52
여,30대,평일,0.0,51.7,41.6,6.1,0.6,790,158.07
여,40대,평일,0.0,47.6,42.0,9.7,0.7,848,169.46
여,50대,평일,0.0,41.5,44.2,11.7,2.6,731,182.94
여,60대,평일,0.1,29.0,43.5,21.9,5.5,430,218.58
여,70대이상,평일,0.0,21.6,33.7,27.5,17.2,460,271.19
남,10대,휴일,0.0,10.5,35.6,33.8,20.2,686,311.87
남,20대,휴일,0.0,8.4,32.0,31.4,28.3,684,336.86
남,30대,휴일,0.1,11.2,38.1,33.2,17.4,824,293.36
남,40대,휴일,0.2,13.8,36.0,33.0,17.0,882,292.05
남,50대,휴일,0.0,13.1,35.3,30.5,21.2,737,304.34
남,60대,휴일,0.0,14.9,29.8,34.9,20.5,393,307.64
남,70대이상,휴일,0.0,11.3,25.6,28.8,34.3,284,341.79
여,10대,휴일,0.0,10.6,39.4,29.1,20.8,619,307.54
여,20대,휴일,0.0,10.0,32.4,35.6,22.0,632,314.15
여,30대,휴일,0.3,16.3,41.5,30.2,11.6,790,264.84
여,40대,휴일,0.0,14.7,38.8,33.7,12.7,848,275.46
여,50대,휴일,0.0,16.2,39.6,30.4,13.8,731,274.91
여,60대,휴일,0.1,13.8,32.1,38.5,15.4,430,293.65
여,70대이상,휴일,0.0,9.6,30.3,33.5,26.6,460,325.51
